Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Superzahl
4	5	2013	48	7	5	11	22	21	8	
8	5	2013	6	22	42	30	11	4	7	
11	5	2013	40	7	32	3	31	41	2	
15	5	2013	29	16	45	4	38	2	2	
18	5	2013	16	32	20	2	1	22	6	
22	5	2013	6	35	23	8	36	24	8	
25	5	2013	29	25	23	17	3	44	0	
29	5	2013	40	2	41	14	7	5	5	
1	6	2013	2	30	28	13	36	32	1	
5	6	2013	47	30	21	49	39	19	1	
8	6	2013	12	38	47	26	3	30	3	
12	6	2013	6	15	5	7	23	10	6	
15	6	2013	14	16	49	43	6	25	1	
19	6	2013	18	42	19	49	29	3	5	
22	6	2013	10	19	31	43	5	35	8	
26	6	2013	31	22	32	39	2	43	2	
29	6	2013	36	43	22	28	7	44	9	
3	7	2013	36	9	13	17	7	14	2	
6	7	2013	11	17	49	8	20	3	9	
10	7	2013	41	16	19	11	29	43	9	
13	7	2013	18	3	48	28	29	38	1	
17	7	2013	17	38	20	28	26	11	3	
20	7	2013	3	46	33	11	29	18	4	
24	7	2013	15	28	31	8	2	36	6	
27	7	2013	34	20	11	31	30	40	0	
31	7	2013	38	6	3	47	39	26	7	
3	8	2013	31	47	19	25	6	40	2	
7	8	2013	42	24	14	36	16	11	4	
10	8	2013	31	39	36	9	3	17	7	
14	8	2013	9	39	8	3	34	35	3	
17	8	2013	13	42	28	19	17	25	8	
21	8	2013	15	5	29	21	27	48	1	
24	8	2013	30	6	29	27	2	25	3	
28	8	2013	29	35	3	22	2	37	9	
31	8	2013	39	22	44	37	26	1	4	
4	9	2013	34	19	17	38	31	1	9	
7	9	2013	43	22	24	37	41	12	9	
11	9	2013	12	40	48	42	28	16	3	
14	9	2013	23	22	21	30	10	40	2	
18	9	2013	46	11	4	20	30	21	3	
21	9	2013	22	32	8	40	13	43	8	
25	9	2013	7	43	14	26	30	33	3	
28	9	2013	31	23	37	3	41	32	2	
2	10	2013	46	17	42	27	43	47	3	
